Diện tích,Mức giá,Mặt tiền,Số tầng,Đường vào,Số phòng ngủ,Số toilet
91.0,12.0,5.0,5.0,17.0,5.0,5.0
272.0,86.8,30.0,5.0,20.0,6.0,8.0
100.0,56.0,8.0,9.0,9.0,9.0,9.0
100.0,56.0,8.0,8.0,9.0,8.0,8.0
180.0,40.0,20.0,5.0,15.0,7.0,6.0
32.0,11.9,3.0,6.0,10.0,5.0,5.0
38.0,2.2,4.0,3.0,3.0,3.0,3.0
30.0,4.3,3.0,4.0,2.0,3.0,3.0
99.0,31.5,6.0,4.0,13.0,4.0,5.0
43.0,3.2,3.0,3.0,4.0,3.0,3.0
48.0,14.6,6.0,5.0,4.0,6.0,4.0
30.0,3.3,3.0,4.0,2.0,3.0,3.0
50.0,8.5,3.0,5.0,3.0,7.0,4.0
38.0,8.0,3.0,5.0,6.0,5.0,5.0
36.0,6.5,3.0,5.0,3.0,5.0,3.0
123.0,39.9,6.0,6.0,10.0,5.0,5.0
70.0,25.0,4.0,8.0,6.0,10.0,10.0
75.0,52.0,5.0,5.0,15.0,5.0,8.0
76.0,14.0,5.0,5.0,8.0,4.0,5.0
65.0,13.0,5.0,5.0,20.0,8.0,5.0
37.0,6.1,4.0,5.0,3.0,4.0,4.0
30.0,4.1,3.0,4.0,25.0,2.0,3.0
40.0,14.5,5.0,6.0,5.0,4.0,4.0
30.0,5.85,3.0,5.0,3.0,3.0,4.0
76.0,30.0,6.0,5.0,40.0,5.0,5.0
94.0,48.0,7.0,8.0,6.0,5.0,7.0
44.0,12.8,2.0,5.0,4.0,6.0,4.0
57.0,15.8,12.0,7.0,2.0,15.0,15.0
50.0,8.58,4.0,5.0,3.0,3.0,3.0
98.0,38.0,7.0,5.0,12.0,4.0,4.0
40.0,8.08,4.0,6.0,3.0,4.0,5.0
60.0,10.18,5.0,5.0,3.0,5.0,6.0
37.0,5.2,4.0,4.0,3.0,3.0,3.0
40.0,6.36,4.0,4.0,3.0,4.0,3.0
42.0,6.85,4.0,5.0,2.0,4.0,4.0
40.0,2.28,4.0,4.0,5.0,3.0,3.0
44.0,5.2,6.0,6.0,2.0,3.0,5.0
45.0,23.9,4.0,6.0,30.0,5.0,5.0
35.0,5.8,4.0,5.0,3.0,3.0,4.0
54.0,10.8,4.0,5.0,8.0,4.0,3.0
65.0,8.8,5.0,3.0,4.0,3.0,4.0
28.0,5.5,3.0,4.0,3.0,2.0,2.0
65.0,10.0,5.0,4.0,3.0,4.0,4.0
55.0,13.0,3.0,6.0,6.0,4.0,5.0
42.0,6.3,3.0,4.0,3.0,4.0,4.0
40.0,5.4,4.0,4.0,5.0,3.0,4.0
80.0,16.6,5.0,4.0,6.0,4.0,4.0
40.0,4.95,3.0,5.0,3.0,4.0,4.0
43.0,9.2,6.0,6.0,4.0,4.0,4.0
31.0,4.8,4.0,5.0,3.0,4.0,4.0
35.0,5.9,4.0,5.0,3.0,3.0,4.0
38.0,2.38,4.0,5.0,3.0,4.0,3.0
