Diện tích,Mức giá,Mặt tiền,Pháp lý,Khu vực,Loại bất động sản,Đường vào,Hướng ban công,Số phòng ngủ,Số toilet,Nội thất,Số tầng,Hướng nhà
94 m²,35 tỷ,"6,3 m",Sổ đỏ/ Sổ hồng,Hoàn Kiếm,Bán đất,,,,,,,
52 m²,"52,94 triệu/m²","4,3 m",Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,10 m,,,,,,
"99,6 m²","5,2 tỷ",,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,
63 m²,"14,8 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,20 m,,6 phòng,7 phòng,Đầy đủ,7 tầng,
70 m²,Thỏa thuận,"4,5 m",Sổ đỏ/ Sổ hồng,Gia Lâm,Bán đất,,,,,,,
"64,6 m²",28 triệu/m²,"4,1 m",Sổ đỏ/ Sổ hồng,Sóc Sơn,Bán đất,"4,5 m",,,,,,Nam
100 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Tây - Bắc,3 phòng,2 phòng,Đầy đủ,,Đông - Nam
160 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Tây Hồ,Căn hộ chung cư,,,3 phòng,2 phòng,Danh mục nội thất bàn giao là những thương hiệu cao cấp nhất thế giới.,,
120 m²,"6,7 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,3 phòng,2 phòng,Đầy đủ,,Tây - Bắc
41 m²,11 tỷ,"3,4 m",Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,10 m,Đông,6 phòng,4 phòng,,6 tầng,Đông
126 m²,30 tỷ,"6,06 m",Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà mặt phố,,,,,,3 tầng,
89 m²,"2,65 tỷ","5,32 m",Sổ đỏ/ Sổ hồng,Thanh Trì,Bán đất,,,,,,,
,,,,,,,,,,,,
658 m²,"5,1 triệu/m²",21 m,Sổ đỏ/ Sổ hồng.,Chương Mỹ,Bán đất,6 m,,,,,,
57 m²,"7,1 tỷ",4 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,3 m,,3 phòng,3 phòng,Đầy đủ,,
225 m²,Thỏa thuận,"6,98 m",Sổ đỏ/ Sổ hồng,Quốc Oai,Bán đất,6 m,,,,,,Đông - Nam
80 m²,Thỏa thuận,,,Hà Đông,"Nhà biệt thự, liền kề",,,,,,,
32 m²,"3,58 tỷ","3,4 m",Sổ đỏ/ Sổ hồng.,Hoàng Mai,Nhà riêng,3 m,,3 phòng,3 phòng,,4 tầng,
65 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hà Đông,Nhà riêng,12 m,,5 phòng,5 phòng,Đầy đủ,5 tầng,
56 m²,"2,27 tỷ",,Sổ đỏ/ Sổ hồng,Thanh Trì,Căn hộ chung cư,,,2 phòng,2 phòng,Đầy đủ,,Đông - Nam
226 m²,"39,8 tỷ",18 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,2 m,,2 phòng,2 phòng,,2 tầng,
"47,8 m²","5,86 tỷ",,Sổ đỏ/ Sổ hồng,Hoàng Mai,Nhà riêng,3 m,,4 phòng,4 phòng,Cơ bản,5 tầng,
39 m²,"49,5 tỷ","3,7 m",,Hoàn Kiếm,Nhà mặt phố,,,,,Full,7 tầng,
150 m²,"19,7 triệu/m²",11 m,Sổ đỏ/ Sổ hồng,Quốc Oai,Bán đất,7 m,,,,,,Đông - Nam
100 m²,Thỏa thuận,4 m,,Long Biên,Nhà mặt phố,,,,,,,
165 m²,58 tỷ,10 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà mặt phố,,,,,Đầy đủ,3 tầng,
278 m²,Thỏa thuận,,,Tây Hồ,Căn hộ chung cư,,Bắc,3 phòng,4 phòng,,,Nam
287 m²,122 tỷ,"10,5 m",Sổ đỏ/ Sổ hồng,Đống Đa,Nhà mặt phố,25 m,Tây - Bắc,9 phòng,9 phòng,Đầy đủ,8 tầng,Tây - Bắc
78 m²,"7,8 tỷ","3,05 m",Sổ đỏ/ Sổ hồng,Đông Anh,Nhà riêng,8 m,Đông,1 phòng,1 phòng,Không nội thất,1 tầng,Đông
69 m²,"6,6 tỷ",4 m,Sổ đỏ/ Sổ hồng,Long Biên,Nhà mặt phố,25 m,,4 phòng,4 phòng,Cơ bản.,4 tầng,
96 m²,Thỏa thuận,,Sổ đỏ/ Sổ hồng,Hoài Đức,Bán đất,,,,,,,
90 m²,45 tỷ,10 m,Sổ đỏ/ Sổ hồng,Thanh Xuân,Nhà riêng,13 m,,,,,6 tầng,Đông - Nam
"45,2 m²","9,5 tỷ",4 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,"7,2 m",,4 phòng,5 phòng,Cơ bản,5 tầng,
43 m²,"2,36 tỷ",,Sổ đỏ/ Sổ hồng,Gia Lâm,Căn hộ chung cư,,Tây - Nam,1 phòng,1 phòng,Đầy đủ,,Đông - Bắc
40 m²,"3,35 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Bán đất,,,,,,,
55 m²,3 tỷ,,,Đan Phượng,Bán đất,,,,,,,
98 m²,"4,85 tỷ",,Sổ đỏ/ Sổ hồng,Hà Đông,Căn hộ chung cư,,,3 phòng,2 phòng,Đầy đủ,,
45 m²,"4,7 tỷ",4 m,Sổ đỏ/ Sổ hồng,Bắc Từ Liêm,Nhà riêng,5 m,Đông - Bắc,4 phòng,,Đầy đủ,4 tầng,Đông - Bắc
90 m²,"5,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Đông - Nam,2 phòng,2 phòng,Đầy đủ,,Tây - Bắc
65 m²,"4,5 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Căn hộ chung cư,,Tây - Bắc,2 phòng,1 phòng,Cơ bản,,Đông - Bắc
130 m²,"47,5 tỷ","6,6 m",Sổ đỏ/ Sổ hồng.,Long Biên,Nhà mặt phố,,,,,Đầy đủ Nội thất cao cấp nhập khẩu.,9 tầng,
52 m²,"10,8 tỷ",,Sổ đỏ/ Sổ hồng,Cầu Giấy,Nhà riêng,,,,,,7 tầng,
95 m²,6 tỷ,"6,59 m",Sổ đỏ/ Sổ hồng,Đông Anh,Bán đất,46 m,,,,,,
58 m²,"12,3 tỷ",6 m,Sổ đỏ/ Sổ hồng,Nam Từ Liêm,Nhà riêng,3 m,,14 phòng,14 phòng,"Đầy đủ + Nội thất hoàn thiện mỗi phòng đều có điều hoà, giường, tủ, tủ bếp và bếp, vệ sinh khép kín... Máy giặt máy sấy chung. Đã full khách. Chủ mới chỉ việc vận hành.",7 tầng,
41 m²,"12,97 tỷ",5 m,Sổ đỏ/ Sổ hồng,Tây Hồ,Nhà riêng,,,7 phòng,,Đầy đủ,8 tầng,
